game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
125122-LBN-AUS,11,Australia,Sara Blicavs,TRUE,17:38,17.63,11,7,3,2,0,0,1,4,7,57.1,3,4,75,0,0,0,20,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Cayla George,TRUE,17:03,17.05,7,10,2,0,0,2,2,2,8,25,1,4,25,2,2,100,11,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Stephanie Reid,TRUE,17:34,17.57,14,1,7,0,0,0,2,5,7,71.4,4,6,66.7,0,0,0,20,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Abbey Ellis,FALSE,22:23,22.38,14,4,4,3,0,1,1,6,7,85.7,2,3,66.7,0,0,0,23,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Courtney Michelle Woods,FALSE,22:16,22.27,11,6,7,2,0,0,0,5,8,62.5,1,2,50,0,0,0,23,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125122-LBN-AUS,11,Australia,Miela Goodchild,FALSE,19:15,19.25,10,3,1,2,0,2,1,4,9,44.4,2,5,40,0,0,0,9,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125122-LBN-AUS
125123-PHI-LBN,12,Philippines,Cielo Pagdulagan,FALSE,2:02,2.03,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN
125123-PHI-LBN,12,Philippines,Naomi Natalie Panganiban,TRUE,31:15:00,31.25,15,4,3,1,0,1,2,5,16,31.3,2,9,22.2,3,3,100,11,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN
125123-PHI-LBN,12,Philippines,Kent Jane Pastrana,FALSE,14:43,14.72,7,1,0,0,0,2,1,3,6,50,1,3,33.3,0,0,0,3,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN
125123-PHI-LBN,12,Philippines,Quinn Kacey Dela Rosa,FALSE,22:03,22.05,10,5,0,3,1,1,5,5,8,62.5,0,2,0,0,0,0,15,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125123-PHI-LBN
