id,game_id,game_no,team,player_name,starter,minutes,minutes_float,points,rebounds,assists,steals,blocks,turnovers,fouls,fgm,fga,fg_pct,three_pm,three_pa,three_pct,ftm,fta,ft_pct,efficiency,source_url
555,125115-CHN-INA,4,China,ZIYU ZHANG,False,11:36,11.6,13,4,2,0,1,4,2,5,7,71.4,0,0,0.0,3,4,75.0,13.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
556,125115-CHN-INA,4,China,Xinyu Luo,True,19:33,19.55,13,6,4,2,0,1,1,3,7,42.9,2,5,40.0,5,6,83.3,19.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
557,125115-CHN-INA,4,China,Xu Han,True,17:6,17.1,12,5,2,0,1,1,0,5,7,71.4,1,1,100.0,1,2,50.0,16.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
558,125115-CHN-INA,4,China,Zhenqi Pan,False,13:38,13.63,11,2,3,0,0,1,4,4,4,100.0,0,0,0.0,3,5,60.0,13.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
559,125115-CHN-INA,4,China,Sijing Huang,False,14:53,14.88,5,4,0,0,1,0,0,1,3,33.3,1,2,50.0,2,2,100.0,8.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
560,125115-CHN-INA,4,China,Ru Zhang,True,22:47,22.78,9,0,4,4,0,0,2,3,3,100.0,1,1,100.0,2,2,100.0,17.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
561,125115-CHN-INA,4,China,Liwei Yang,False,18:47,18.78,13,2,3,1,0,1,2,5,6,83.3,3,4,75.0,0,0,0.0,17.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
562,125115-CHN-INA,4,China,Shuyu Yang,True,22:49,22.82,12,2,4,3,0,2,3,4,5,80.0,1,2,50.0,3,7,42.9,14.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
563,125115-CHN-INA,4,China,Yuan Li,True,14:35,14.58,1,0,4,2,0,0,1,0,3,0.0,0,2,0.0,1,2,50.0,3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
564,125115-CHN-INA,4,China,Siyu Wang,False,11:57,11.95,6,0,2,2,0,0,0,1,4,25.0,0,1,0.0,4,5,80.0,6.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
565,125115-CHN-INA,4,Indonesia,Angelica Jennifer Candra,False,16:40,16.67,3,3,0,0,0,1,1,1,3,33.3,0,0,0.0,1,2,50.0,2.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
566,125115-CHN-INA,4,Indonesia,Clarita Antonio,False,18:35,18.58,6,3,2,2,0,4,1,2,5,40.0,2,3,66.7,0,0,0.0,6.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
567,125115-CHN-INA,4,Indonesia,Kim Pierre-Louis,True,23:20,23.33,16,6,0,1,0,2,1,6,14,42.9,0,0,0.0,4,5,80.0,12.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
568,125115-CHN-INA,4,Indonesia,Bella Alana Hasan,False,11:18,11.3,5,2,1,0,0,1,3,2,3,66.7,0,1,0.0,1,2,50.0,5.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
569,125115-CHN-INA,4,Indonesia,Nathania Claresta Orville,True,23:45,23.75,2,1,1,1,0,1,1,1,5,20.0,0,1,0.0,0,0,0.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
570,125115-CHN-INA,4,Indonesia,Jesslyn Angelique Aritonang,False,9:32,9.53,0,2,0,0,1,4,2,0,3,0.0,0,2,0.0,0,0,0.0,-4.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
571,125115-CHN-INA,4,Indonesia,Yuni Anggraeni,False,10:7,10.12,4,4,0,0,0,1,3,2,5,40.0,0,0,0.0,0,0,0.0,4.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
572,125115-CHN-INA,4,Indonesia,Adelaide Callista Wongsohardjo,True,21:3,21.05,0,1,1,0,0,3,4,0,2,0.0,0,1,0.0,0,0,0.0,-3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
573,125115-CHN-INA,4,Indonesia,Faizzatus Shoimah,True,16:39,16.65,6,1,1,0,0,1,3,2,4,50.0,2,4,50.0,0,0,0.0,5.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
574,125115-CHN-INA,4,Indonesia,Priscilla Annabel Karen,True,14:58,14.97,6,0,2,1,1,2,1,2,6,33.3,0,2,0.0,2,2,100.0,4.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
575,125115-CHN-INA,4,Indonesia,Dewa Ayu Made Sriartha Kusuma,False,14:55,14.92,5,2,0,1,0,1,2,2,3,66.7,0,0,0.0,1,1,100.0,6.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
576,125115-CHN-INA,4,Indonesia,Agustin Elya Gradita Retong,False,19:8,19.13,6,2,5,0,0,2,3,3,7,42.9,0,3,0.0,0,0,0.0,7.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125115-CHN-INA
577,125116-INA-NZL,5,Indonesia,Angelica Jennifer Candra,False,19:53,19.88,3,4,0,1,0,3,3,1,5,20.0,0,0,0.0,1,2,50.0,0.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
578,125116-INA-NZL,5,Indonesia,Clarita Antonio,False,14:30,14.5,6,2,0,0,0,2,1,2,11,18.2,2,8,25.0,0,0,0.0,-3.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
579,125116-INA-NZL,5,Indonesia,Kim Pierre-Louis,True,20:7,20.12,11,4,0,1,1,2,2,3,9,33.3,0,1,0.0,5,6,83.3,8.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
580,125116-INA-NZL,5,Indonesia,Bella Alana Hasan,False,14:35,14.58,3,1,1,0,0,1,2,0,4,0.0,0,0,0.0,3,4,75.0,-1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
581,125116-INA-NZL,5,Indonesia,Nathania Claresta Orville,True,14:33,14.55,0,3,1,1,0,2,0,0,8,0.0,0,2,0.0,0,0,0.0,-5.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
582,125116-INA-NZL,5,Indonesia,Jesslyn Angelique Aritonang,False,14:4,14.07,2,1,0,0,0,1,0,0,4,0.0,0,3,0.0,2,2,100.0,-2.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
583,125116-INA-NZL,5,Indonesia,Yuni Anggraeni,False,5:43,5.72,0,0,0,0,0,0,2,0,1,0.0,0,0,0.0,0,0,0.0,-1.0,https://www.fiba.basketball/en/events/fiba-womens-asiacup-2025/games/125116-INA-NZL
